"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33135","14.38.33135","Microsoft Corporation","20240216"
"vs_communityx64msi","17.9.34714","Microsoft Corporation","20240409"
"IIS Express Application Compatibility Database for x86",,,
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.12.10243","Microsoft Corporation","20240409"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.12.10243","Microsoft Corporation","20240409"
"Update for Windows 10 for x64-based Systems (KB5001716)","8.94.0.0","Microsoft Corporation","20240307"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.2.8004","Microsoft Corporation","20240216"
"VS JIT Debugger","17.0.125.0","Microsoft Corporation","20240216"
"Microsoft Windows Desktop Runtime - 8.0.3 (x64)","64.12.10377","Microsoft Corporation","20240409"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.12.10343","Microsoft Corporation","20240409"
"vs_minshellinteropx64msi","17.9.34511","Microsoft Corporation","20240216"
"Microsoft .NET AppHost Pack - 8.0.3 (x64_x86)","64.12.10343","Microsoft Corporation","20240409"
"VS Script Debugging Common","17.0.125.0","Microsoft Corporation","20240216"
"Microsoft .NET AppHost Pack - 8.0.3 (x64_arm64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.2.8004","Microsoft Corporation","20240216"
"Microsoft .NET Runtime - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft Windows Desktop Targeting Pack - 8.0.3 (x64)","64.12.10377","Microsoft Corporation","20240409"
"Microsoft ODBC Driver 17 for SQL Server","17.10.5.1","Microsoft Corporation","20240409"
"Microsoft .NET Host FX Resolver - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation","20240216"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240216"
"Microsoft .NET SDK 8.0.202 (x64) from Visual Studio","8.2.224.11649","Microsoft Corporation","20240409"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20240409"
"DisplayName","DisplayVersion","Publisher","InstallDate"
"7-Zip 23.01 (x64)","23.01","Igor Pavlov",
"AMD Software","23.Q4","Advanced Micro Devices, Inc.",
,,,
,,"Microsoft Corporation",
,,"Microsoft Corporation",
"Notepad++ (64-bit x64)","8.6.2","Notepad++ Team",
"PEM-HTTPD 2.4.58","2.4.58-2","EnterpriseDB","20240409"
"PostgreSQL 16 ","16.2","PostgreSQL Global Development Group","20240409"
"Microsoft Office LTSC профессиональный плюс 2021 - ru-ru","16.0.14332.20685","Microsoft Corporation",
,,"Microsoft Corporation",
"Brotato",,"Blobfish",
"Blender",,"Blender Foundation",
,,,
"icecap_collection_x64","17.9.34714","Microsoft Corporation","20240409"
"Microsoft .NET Host - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft ASP.NET Core 8.0.3 Targeting Pack (x64)","8.0.3.24116","Microsoft Corporation","20240409"
"vs_minshellx64msi","17.9.34714","Microsoft Corporation","20240409"
"Microsoft .NET Targeting Pack - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"IIS Express Application Compatibility Database for x64",,,
"Microsoft System CLR Types для SQL Server 2019","15.0.2000.5","Microsoft Corporation","20240216"
"Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)","17.2.8004","Microsoft Corporation","20240216"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33135","14.38.33135","Microsoft Corporation","20240216"
"DiagnosticsHub_CollectionService","17.6.34629","Microsoft Corporation","20240409"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20240123"
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation","20240125"
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)","17.2.8004","Microsoft Corporation","20240216"
"Python 3.12.3 Core Interpreter (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)","8.0.7","Microsoft Corporation","20240409"
"Microsoft SQL Server 2019 LocalDB ","15.0.4153.1","Microsoft Corporation","20240409"
"Microsoft Command Line Utilities 15 for SQL Server","15.0.1300.359","Microsoft Corporation","20240409"
"Python 3.12.3 Executables (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft .NET 8.0 Templates 8.0.202 (x64)","32.7.52897","Microsoft Corporation","20240409"
"Microsoft .NET AppHost Pack - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","64.12.10243","Microsoft Corporation","20240409"
"Python 3.12.3 Test Suite (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"Python 3.12.3 Documentation (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"AMD Settings","2023.1117.1306.1996","Advanced Micro Devices, Inc.","20240123"
"Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)","34.0.52","Microsoft Corporation","20240216"
"Microsoft Visual Studio Installer","3.9.2164.57262","Microsoft Corporation","20240216"
"Java 8 Update 411 (64-bit)","8.0.4110.9","Oracle Corporation","20240420"
"Python 3.12.3 pip Bootstrap (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"Microsoft ASP.NET Core 8.0.3 Shared Framework (x64)","8.0.3.24116","Microsoft Corporation","20240409"
"Microsoft Web Deploy 4.0","10.0.8215","Microsoft Corporation","20240409"
"Oracle VM VirtualBox 7.0.14","7.0.14","Oracle and/or its affiliates","20240216"
"Python 3.12.3 Development Libraries (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"AMD User Experience Program Installer","2319.0.0.1117","Advanced Micro Devices, Inc.","20240123"
"Python 3.12.3 Add to Path (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"vs_devenx64vmsi","17.9.34511","Microsoft Corporation","20240216"
"Microsoft .NET Toolset 8.0.202 (x64)","32.7.52897","Microsoft Corporation","20240409"
"Office 16 Click-to-Run Licensing Component","16.0.14332.20685","Microsoft Corporation","20240417"
"Office 16 Click-to-Run Extensibility Component","16.0.14332.20685","Microsoft Corporation","20240417"
"Office 16 Click-to-Run Localization Component","16.0.14332.20624","Microsoft Corporation","20240211"
"Microsoft Access database engine 2016 (English)","16.0.5044.1000","Microsoft Corporation","20240221"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20240123"
"Python 3.12.3 Standard Library (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"Python 3.12.3 Tcl/Tk Support (64-bit)","3.12.3150.0","Python Software Foundation","20240416"
"IIS 10.0 Express","10.0.08608","Microsoft Corporation","20240409"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20240216"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20240123"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33135","14.38.33135","Microsoft Corporation","20240216"
"vs_communityx64msi","17.9.34714","Microsoft Corporation","20240409"
"IIS Express Application Compatibility Database for x86",,,
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)","64.12.10243","Microsoft Corporation","20240409"
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)","64.12.10243","Microsoft Corporation","20240409"
"Update for Windows 10 for x64-based Systems (KB5001716)","8.94.0.0","Microsoft Corporation","20240307"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)","17.2.8004","Microsoft Corporation","20240216"
"VS JIT Debugger","17.0.125.0","Microsoft Corporation","20240216"
"Microsoft Windows Desktop Runtime - 8.0.3 (x64)","64.12.10377","Microsoft Corporation","20240409"
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)","64.12.10343","Microsoft Corporation","20240409"
"vs_minshellinteropx64msi","17.9.34511","Microsoft Corporation","20240216"
"Microsoft .NET AppHost Pack - 8.0.3 (x64_x86)","64.12.10343","Microsoft Corporation","20240409"
"VS Script Debugging Common","17.0.125.0","Microsoft Corporation","20240216"
"Microsoft .NET AppHost Pack - 8.0.3 (x64_arm64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)","14.2.8004","Microsoft Corporation","20240216"
"Microsoft .NET Runtime - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft Windows Desktop Targeting Pack - 8.0.3 (x64)","64.12.10377","Microsoft Corporation","20240409"
"Microsoft ODBC Driver 17 for SQL Server","17.10.5.1","Microsoft Corporation","20240409"
"Microsoft .NET Host FX Resolver - 8.0.3 (x64)","64.12.10343","Microsoft Corporation","20240409"
"Microsoft ASP.NET Core Module V2 for IIS Express","17.0.22116.0","Microsoft Corporation","20240409"
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)","64.0.5426","Microsoft Corporation","20240216"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20240216"
"Microsoft .NET SDK 8.0.202 (x64) from Visual Studio","8.2.224.11649","Microsoft Corporation","20240409"
"Microsoft ASP.NET Core Module for IIS Express","12.2.18292.0","Microsoft Corporation","20240409"
